A/P Aging Summary Report,,,,,,
Bandwear.com Inc.,,,,,,
"As of February 5, 2026",,,,,,

Vendor,CURRENT,1 - 30,31 - 60,61 - 90,91 AND OVER,Total
7 Pepper Gunns-V,,"10,504.46",,,,"10,504.46"
"AMDA Commercial Cleaning Services, Inc.",324.75,,,,,324.75
Ascend Staffing,"2,970.74",,,,,"2,970.74"
Aubrey Logan-V,,552.07,,,,552.07
Bandwear Superstore-V,,289.61,,,,289.61
Beauty School Dropout-V,,"2,816.46",,,,"2,816.46"
Better Noise Music (Review)-V,,"1,673.50",,,,"1,673.50"
Big Bad Voodoo Daddy-V,,206.85,,,,206.85
Blue October - Answers Vinyl (updown)-V,,384.81,,,,384.81
Blue October - Box Sets (updown)-V,,"8,451.67",,,,"8,451.67"
Blue October - Consent Vinyl (updown)-V,,354.17,,,,354.17
Blue October Fangrab Ticketing-V,,"9,450.00","39,273.60",,,"48,723.60"
Blue October (Scoop)-V,,"35,563.04",,,,"35,563.04"
Blue October - STTAP1 (Scoop)-V,,"2,532.86",,,,"2,532.86"
Blue October - STTAP2 (Scoop)-V,,883.18,,,,883.18
Blue October - Sway (Scoop)-V,,"5,511.93",,,,"5,511.93"
Blue October - TIWILF (Scoop)-V,,980.59,,,,980.59
Blue October - TWDAN (Scoop)-V,,165.64,,,,165.64
Bowling For Soup-V,,"8,557.90",,,,"8,557.90"
Brando Records-V,,,757.86,,,757.86
Central Courier Corp,131.10,,,,,131.10
DHL eCommerce,"2,914.00",,,,,"2,914.00"
DHL Express USA,,731.21,,,,731.21
Erykah Badu-V,"43,752.36",,,,,"43,752.36"
Flickerstick - 2021-V,,,"-2,713.71",,"-6,519.40","-9,233.11"
Gunner Black Co-V,,"2,812.67",,,,"2,812.67"
Home Free-V,,"12,092.98",,,,"12,092.98"
Image Imprinting,"9,174.61",,,,,"9,174.61"
Jake Mai-V,,299.41,,,,299.41
Joshua Radin-V,,"1,998.12",,,,"1,998.12"
Justin Furstenfeld Book (Gunner)-V,,"7,473.36",,,,"7,473.36"
Kaki King-V,,"1,437.50",,,,"1,437.50"
Low Roar-V,"2,854.04",,,,,"2,854.04"
Luck Star Merch Limited,,,,,"-1,501.50","-1,501.50"
Lucky Chops-V,"1,072.86",,,,,"1,072.86"
Marc Broussard-V,,848.15,,,,848.15
Michael Lington-V,,599.04,,,,599.04
Mindy Gledhill-V,,493.28,,,,493.28
MRM Tax Consulting LLC,,,,"-2,500.00",,"-2,500.00"
Nep-V,,"3,630.19",,,,"3,630.19"
Norway Consultants Inc,,"5,083.00",,,,"5,083.00"
Oglio Records-V,,"1,165.54",,,,"1,165.54"
Parry Gripp-V,,742.13,,,,742.13
Paul Gilbert (Review)-V,573.77,,,,,573.77
PEOPLE R UGLY-V,,341.59,,,,341.59
PMGOA,,,,,-80.21,-80.21
Prophets And Outlaws-V,,,116.11,,,116.11
Sammy Rae-V,,"12,594.45",,,,"12,594.45"
Shopify,,"3,211.00",,,,"3,211.00"
Shopify - Badu Apothecary-V,,652.00,581.22,435.98,"30,916.17","32,585.37"
Shopify - Furstenfeld-V,,"8,006.75",,,,"8,006.75"
Shopify - Get Back Up-V,,336.87,,,,336.87
"SNP Consulting & Development, Inc.",,"-8,500.00",,,,"-8,500.00"
S&S Activewear,"10,892.79",,,,,"10,892.79"
"Staton Wholesale, LLC",540.00,,,,,540.00
"Stouse, LLC",,,,,-42.23,-42.23
Tauk-V,,"1,096.08",,,,"1,096.08"
The Bluegrass Situation-V,,502.57,,,,502.57
The Cold Stares-V,,661.36,,,"-5,000.00","-4,338.64"
Uline,"1,221.60",828.55,,,,"2,050.15"
United Printables,"1,311.85",,,,,"1,311.85"
UPS,"2,919.97",28.76,,,,"2,948.73"
Will Hoge-V,,"1,200.94",,,,"1,200.94"
Yam Haus-V,,41.80,,,,41.80
"Zendesk, INC",106.60,,106.60,,,213.20
TOTAL,"80,761.04","149,288.04","38,121.68","-2,064.02","17,772.83","$283,879.57"



" Friday, February 06, 2026 12:01 AM GMT-06:00",,,,,,
