Profit and Loss by Month,,,,,,,,,,,,,
Bandwear.com Inc.,,,,,,,,,,,,,
"January-December, 2024",,,,,,,,,,,,,

Distribution account,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,Total
Income,,,,,,,,,,,,,
CONSIGN Sales,,,514.12,,,,,,,,,,514.12
Consignment Sales,"227,128.26","179,574.79","258,565.85","135,128.77","62,348.84","111,528.62","156,813.91","133,194.11","212,524.77","240,308.88","324,014.14","328,003.61","2,369,134.55"
Consignment Sales Cost,"-169,881.26","-156,834.21","-226,754.47","-108,897.43","-65,032.34","-98,099.25","-150,261.72","-118,006.69","-196,302.84","-209,545.03","-302,302.83","-263,350.44","-2,065,268.51"
Customer Service,,206.88,,79.96,581.50,53.00,67.00,58.50,85.00,68.00,271.00,159.50,"1,630.34"
Sales Channel Fees,"2,433.89","2,208.43","2,155.26","2,255.18","1,744.14","2,480.19","1,476.55","1,795.33","2,101.91","1,230.86","7,043.35",551.40,"27,476.49"
Storage Income,"13,018.61","12,562.08","14,628.07","15,285.34","12,738.61","13,068.93","13,785.54","10,924.81","24,923.27","12,151.60","27,339.93","6,661.72","177,088.51"
TikTok Sales,,15.23,,,,,,,,,,41.62,56.85
Transactional Fees,"8,937.17","7,796.50","11,763.00","5,858.16","3,635.91","5,139.94","7,429.13","5,884.91","10,225.30","11,494.45","16,983.62","15,419.63","110,567.72"
Total for CONSIGN Sales,"81,636.67","45,529.70","60,871.83","49,709.98","16,016.66","34,171.43","29,310.41","33,850.97","53,557.41","55,708.76","73,349.21","87,487.04","$621,200.07"
FULL Sales,,,,,,,,,,,,,
Fulfillment Services,"14,346.59","25,458.80","20,553.90","6,692.87","20,988.90","26,493.76","36,000.21","24,977.52","12,049.64","19,235.63","28,969.05","27,459.26","263,226.13"
Packaging Income,"1,688.67","3,354.41","3,678.97","3,256.88","1,454.34","7,124.21","3,515.21",981.93,"1,098.96","2,521.44","3,474.00","4,920.85","37,069.87"
Total for FULL Sales,"16,035.26","28,813.21","24,232.87","9,949.75","22,443.24","33,617.97","39,515.42","25,959.45","13,148.60","21,757.07","32,443.05","32,380.11","$300,296.00"
MFTR Sales,,,,,,,,,,,,,
Art Design Sales,75.00,531.99,150.00,465.00,"1,194.00",225.00,"1,020.00",50.00,170.00,"1,017.50",299.48,145.00,"5,342.97"
Blanks Sales,"141,187.43","75,842.28","85,017.85","33,659.16","56,391.83","96,673.91","87,045.05","152,271.11","122,250.05","97,444.37","86,435.50","31,123.26","1,065,341.80"
Credit Card Surcharge,"1,356.76","1,611.17","1,161.61","1,536.66","1,231.19",877.76,423.16,"3,316.66","2,615.25","1,688.70","1,296.43",895.83,"18,011.18"
DTG Printing,"1,905.92","1,175.24",376.01,356.15,622.22,"4,533.95","1,532.44",365.37,"2,451.16","1,505.82","5,450.08","22,165.55","42,439.91"
Embroidery Sales,"8,523.40","10,262.23","8,554.51","4,468.75","1,361.69",,"10,060.00","5,458.79","13,833.37","6,767.75","2,458.60","3,235.95","74,985.04"
Paper Printing Sales,"5,925.00",383.00,973.00,797.00,"6,326.99",949.99,"6,745.00","25,519.86","3,170.51","1,471.96",,340.45,"52,602.76"
Promotional Product Sales,"31,748.55","10,587.69","40,861.65","21,922.55","14,679.32","1,114.38","27,918.17","9,819.70","63,811.29","73,387.52","24,891.32","8,252.22","328,994.36"
Rush Charge Sales,,,150.00,185.04,360.00,,,,,,,,695.04
Sales Discounts,"-21,859.59","-10,984.37","-17,056.99","-2,582.41","-7,063.79","-15,082.99","-19,060.06","-17,793.11","-26,585.83","-20,820.65","-2,618.19","-4,982.60","-166,490.58"
Screenprinting Sales,"50,872.37","28,717.11","33,852.67","15,032.54","20,583.71","51,249.14","31,848.58","62,594.64","48,004.14","56,199.81","36,622.14","20,119.64","455,696.49"
Setup,25.00,150.00,100.00,225.00,350.00,75.00,250.00,200.00,425.00,300.00,25.00,,"2,125.00"
Sticker Sales,,"2,965.00","2,553.70","6,166.50","4,104.90",491.00,"2,388.60",793.50,"2,801.50",790.00,,447.00,"23,501.70"
Total for MFTR Sales,"219,759.84","121,241.34","156,694.01","82,231.94","100,142.06","141,107.14","150,170.94","242,596.52","232,946.44","219,752.78","154,860.36","81,742.30","$1,903,245.67"
OTHER Sales,,,,,,,,,,,,,
Misc. Income,,,,,,,,,,78.62,,,78.62
Outside Sales Commission,"9,000.00","4,495.50","4,000.00","5,667.50","6,404.00","4,573.00","5,095.00","4,837.50","4,793.50","4,660.00","5,807.50",,"59,333.50"
Total for OTHER Sales,"9,000.00","4,495.50","4,000.00","5,667.50","6,404.00","4,573.00","5,095.00","4,837.50","4,793.50","4,738.62","5,807.50",,"$59,412.12"
Sales of Product Income,,,,,,132.55,,,,,,,132.55
SHIPPING Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Courier,,227.50,35.00,24.50,,,296.10,,,,,147.50,730.60
E-Commerce Postage,"28,844.39","17,099.40","33,246.37","21,072.88","14,685.18","16,595.62","18,675.96","15,337.34","25,023.07","30,674.15","33,553.89","45,722.39","300,530.64"
Freight Revenue,"23,656.17","12,207.90","26,314.49","25,504.56","6,999.43","2,798.30","14,049.88","14,326.38","17,899.82","16,308.65","16,493.04","13,915.15","190,473.77"
Fulfillment Postage,"7,288.22","19,470.83","11,719.54","17,951.82","9,087.14","21,771.61","25,100.95","9,244.63","10,657.39","16,460.84","20,347.74","41,490.70","210,591.41"
Total for SHIPPING Sales,"59,788.78","49,005.63","71,315.40","64,553.76","30,771.75","41,165.53","58,122.89","38,908.35","53,580.28","63,443.64","70,394.67","101,275.74","$702,326.42"
Uncategorized Income,,,,,,,,,,,990.47,-990.47,0.00
Total for Income,"386,220.55","249,085.38","317,114.11","212,112.93","175,777.71","254,767.62","282,214.66","346,152.79","358,026.23","365,400.87","337,845.26","301,894.72","$3,586,612.83"
Cost of Goods Sold,,,,,,,,,,,,,
CONSIGN Costs,,,,,,,,,,,,,
Consignment Product,0.00,0.00,0.00,0.00,0.00,0.00,-156.00,,315.96,,,483.99,643.95
Merchbar Selling Fees,"1,048.51",647.42,,,,,,,,,,,"1,695.93"
